序号,名称,B站动漫社UID,B站相应账号名称,是否有术力口社团,B站术力口社团UID,名称
373,暨南大学,1827356712,暨南大学动漫协会ACGJNU,否,,
374,中华女子学院,1829696536,水精动漫社520,否,,
375,同济大学嘉定校区,1856758430,同济Neta动漫协会,否,,
376,湖南安全技术职业学院,1892508702,月华初照动漫协会,否,,
377,南通大学,1903974167,南通大学集音动漫社,否,,
378,吉林大学,1988932987,拾光动漫社_office,否,,
379,北京外国语大学,1990537625,Mywing动漫社,否,,
380,江苏大学,1990609390,玄唐动漫社糖娘,否,,
381,山西传媒学院,1990716897,山西未完成动漫社,否,,
382,广西师范大学,2079570215,GXNU下弦月动漫社,否,,
383,北京建筑大学,2105267488,幻の境界动漫社,否,,
384,南京师范大学,2123887037,极地娘的回忆录,否,,
385,四川大学,3461568404654738,川大红动漫协会-芮可,否,,
386,成都信息工程大学,3461579808967189,零之动漫社_澪酱,否,,
387,上海外国语大学,3461581492980415,上外世界线动漫社,否,,
388,齐鲁师范学院,3461582398949898,QL氧气动漫社官方号,否,,
389,南京交通职业技术学院,3493106190125097,景元天选动漫社,否,,
390,北京理工大学,3493123959294533,黑白漫画社_Official,否,,
391,西安交通大学,3493125322443492,XJTU火兰界隈,否,,
392,河南农业大学,3493143519430778,HAU吉樱动漫社,否,,
393,郑州财经学院,3493293683903387,Fs动漫社,否,,
394,广东海洋大学,3494373681531395,三味百草动漫社,否,,
395,吉林大学,3546385794206601,东北ACG音乐联合企划,否,,
396,连云港职业技术学院,3546388275137154,连职院缺壹动漫社,否,,
397,山西大学,3546393979390318,Sado漫研社,否,,
398,河南机电职业学院,3546577387915435,河机电丶柒雨动漫社,否,,
399,兰州理工大学,3546621610559787,澄小柒ChengK,否,,
400,太原师范学院,3546643490147017,太师九霄龙影动漫社,否,,
401,上海立信会计金融学院,3546652696644525,XD动漫社,否,,
402,宁波大学,3546655141923186,浩天漫研社,否,,
403,广西财经学院,3546656626707054,广西财经零漫社,否,,
404,浙江树人学院,3546684021803219,一字军团动漫社,否,,
405,北京邮电大学,3546723079162187,枫韵社,否,,
406,北京语言大学,3546763782785985,氧气动漫社,否,,
407,天津大学,3546774413248530,DT轻音部official,否,,
408,中国矿业大学（北京）,3546777034688512,北矿东云漫研社,否,,
409,大连理工大学,3546779253475342,七域轻音部,否,,
410,山东大学,3546791559563660,Jump动漫协会,否,,
411,华南师范大学,3546813990701155,翼年动漫,否,,
412,广东理工学院,3546859234658894,广东理工AM动漫社,否,,
413,郑州轻工业大学,3546903228712989,輕葉原动漫社,否,,
414,西安欧亚学院,3546981964187648,欧亚动漫自媒体社团,否,,
415,湖南女子学院,3632309102184815,EMC39动漫协会,否,,
